date,period,division,pl_group,amount,start,var,lo80,hi80,lo95,hi95
2014-10-01,train,Olympia,General & Admin,-236990,2014,historical,NA,NA,NA,NA
2014-10-01,train,Olympia,Revenue,1771770,2014,historical,NA,NA,NA,NA
2014-10-01,train,Olympia,Sales & Marketing,-166400,2014,historical,NA,NA,NA,NA
2014-11-01,train,Olympia,Cost of goods sold,-903110,2014,historical,NA,NA,NA,NA
2014-11-01,train,Olympia,General & Admin,-188370,2014,historical,NA,NA,NA,NA
2014-11-01,train,Olympia,Revenue,1207050,2014,historical,NA,NA,NA,NA
2014-11-01,train,Olympia,Sales & Marketing,-141700,2014,historical,NA,NA,NA,NA
2014-12-01,train,Olympia,Cost of goods sold,-922740,2014,historical,NA,NA,NA,NA
2014-12-01,train,Olympia,General & Admin,-212290,2014,historical,NA,NA,NA,NA
2014-12-01,train,Olympia,Revenue,1759680,2014,historical,NA,NA,NA,NA
2014-12-01,train,Olympia,Sales & Marketing,-249340,2014,historical,NA,NA,NA,NA
2015-01-01,train,Olympia,Cost of goods sold,-942240,2014,historical,NA,NA,NA,NA
2015-01-01,train,Olympia,General & Admin,-163280,2014,historical,NA,NA,NA,NA
2015-01-01,train,Olympia,Revenue,1266200,2014,historical,NA,NA,NA,NA
2015-01-01,train,Olympia,Sales & Marketing,-208130,2014,historical,NA,NA,NA,NA
2015-02-01,train,Olympia,Cost of goods sold,-934310,2014,historical,NA,NA,NA,NA
2015-02-01,train,Olympia,General & Admin,-186290,2014,historical,NA,NA,NA,NA
2015-02-01,train,Olympia,Revenue,1119300,2014,historical,NA,NA,NA,NA
2015-02-01,train,Olympia,Sales & Marketing,-194610,2014,historical,NA,NA,NA,NA
2015-03-01,train,Olympia,Cost of goods sold,-1092260,2014,historical,NA,NA,NA,NA
2015-03-01,train,Olympia,General & Admin,-188630,2014,historical,NA,NA,NA,NA
2015-03-01,train,Olympia,Revenue,1231490,2014,historical,NA,NA,NA,NA
2015-03-01,train,Olympia,Sales & Marketing,-222170,2014,historical,NA,NA,NA,NA
2015-04-01,train,Olympia,Cost of goods sold,-1116570,2014,historical,NA,NA,NA,NA
2015-04-01,train,Olympia,General & Admin,-213850,2014,historical,NA,NA,NA,NA
2015-04-01,train,Olympia,Revenue,1315730,2014,historical,NA,NA,NA,NA
2015-04-01,train,Olympia,Sales & Marketing,-243880,2014,historical,NA,NA,NA,NA
2015-05-01,train,Olympia,Cost of goods sold,-1101100,2014,historical,NA,NA,NA,NA
2015-05-01,train,Olympia,General & Admin,-198510,2014,historical,NA,NA,NA,NA
2015-05-01,train,Olympia,Revenue,1471990,2014,historical,NA,NA,NA,NA
2015-05-01,train,Olympia,Sales & Marketing,-221650,2014,historical,NA,NA,NA,NA
2015-06-01,train,Olympia,Cost of goods sold,-1451450,2014,historical,NA,NA,NA,NA
2015-06-01,train,Olympia,General & Admin,-219310,2014,historical,NA,NA,NA,NA
2015-06-01,train,Olympia,Revenue,1985490,2014,historical,NA,NA,NA,NA
2015-06-01,train,Olympia,Sales & Marketing,-265720,2014,historical,NA,NA,NA,NA
2015-07-01,train,Olympia,Cost of goods sold,-1571570,2014,historical,NA,NA,NA,NA
2015-07-01,train,Olympia,General & Admin,-257140,2014,historical,NA,NA,NA,NA
2015-07-01,train,Olympia,Revenue,2175160,2014,historical,NA,NA,NA,NA
2015-07-01,train,Olympia,Sales & Marketing,-297960,2014,historical,NA,NA,NA,NA
2015-08-01,train,Olympia,Cost of goods sold,-1367470,2014,historical,NA,NA,NA,NA
2015-08-01,train,Olympia,General & Admin,-225290,2014,historical,NA,NA,NA,NA
2015-08-01,train,Olympia,Revenue,1965990,2014,historical,NA,NA,NA,NA
2015-08-01,train,Olympia,Sales & Marketing,-256230,2014,historical,NA,NA,NA,NA
2015-09-01,train,Olympia,Cost of goods sold,-1255280,2014,historical,NA,NA,NA,NA
2015-09-01,train,Olympia,General & Admin,-226200,2014,historical,NA,NA,NA,NA
2015-09-01,train,Olympia,Revenue,1618630,2014,historical,NA,NA,NA,NA
2015-09-01,train,Olympia,Sales & Marketing,-184860,2014,historical,NA,NA,NA,NA
2015-10-01,train,Olympia,Cost of goods sold,-1223040,2014,historical,NA,NA,NA,NA
2015-10-01,train,Olympia,General & Admin,-236340,2014,historical,NA,NA,NA,NA
2015-10-01,train,Olympia,Revenue,1627340,2014,historical,NA,NA,NA,NA
2015-10-01,train,Olympia,Sales & Marketing,-179140,2014,historical,NA,NA,NA,NA
2015-11-01,train,Olympia,Cost of goods sold,-990730,2014,historical,NA,NA,NA,NA
2015-11-01,train,Olympia,General & Admin,-188630,2014,historical,NA,NA,NA,NA
2015-11-01,train,Olympia,Revenue,1378260,2014,historical,NA,NA,NA,NA
2015-11-01,train,Olympia,Sales & Marketing,-178100,2014,historical,NA,NA,NA,NA
2015-12-01,train,Olympia,Cost of goods sold,-938210,2014,historical,NA,NA,NA,NA
2015-12-01,train,Olympia,General & Admin,-319410,2014,historical,NA,NA,NA,NA
2015-12-01,train,Olympia,Revenue,1930240,2014,historical,NA,NA,NA,NA
2015-12-01,train,Olympia,Sales & Marketing,-244790,2014,historical,NA,NA,NA,NA
2016-01-01,train,Olympia,Cost of goods sold,-839150,2014,historical,NA,NA,NA,NA
2016-01-01,train,Olympia,General & Admin,-176150,2014,historical,NA,NA,NA,NA
2016-01-01,train,Olympia,Revenue,1147770,2014,historical,NA,NA,NA,NA
2016-01-01,train,Olympia,Sales & Marketing,-154440,2014,historical,NA,NA,NA,NA
2016-02-01,train,Olympia,Cost of goods sold,-901940,2014,historical,NA,NA,NA,NA
2016-02-01,train,Olympia,General & Admin,-199550,2014,historical,NA,NA,NA,NA
2016-02-01,train,Olympia,Revenue,1175460,2014,historical,NA,NA,NA,NA
2016-02-01,train,Olympia,Sales & Marketing,-145730,2014,historical,NA,NA,NA,NA
2016-03-01,train,Olympia,Cost of goods sold,-989300,2014,historical,NA,NA,NA,NA
2016-03-01,train,Olympia,General & Admin,-290940,2014,historical,NA,NA,NA,NA
2016-03-01,train,Olympia,Revenue,1331330,2014,historical,NA,NA,NA,NA
2016-03-01,train,Olympia,Sales & Marketing,-157300,2014,historical,NA,NA,NA,NA
2016-04-01,train,Olympia,Cost of goods sold,-897650,2014,historical,NA,NA,NA,NA
2016-04-01,train,Olympia,General & Admin,-198380,2014,historical,NA,NA,NA,NA
2016-04-01,train,Olympia,Revenue,1216280,2014,historical,NA,NA,NA,NA
2016-04-01,train,Olympia,Sales & Marketing,-162500,2014,historical,NA,NA,NA,NA
2016-05-01,train,Olympia,Cost of goods sold,-970450,2014,historical,NA,NA,NA,NA
2016-05-01,train,Olympia,General & Admin,-202020,2014,historical,NA,NA,NA,NA
2016-05-01,train,Olympia,Revenue,1373840,2014,historical,NA,NA,NA,NA
2016-05-01,train,Olympia,Sales & Marketing,-231400,2014,historical,NA,NA,NA,NA
2016-06-01,train,Olympia,Cost of goods sold,-1090440,2014,historical,NA,NA,NA,NA
2016-06-01,train,Olympia,General & Admin,-174720,2014,historical,NA,NA,NA,NA
2016-06-01,train,Olympia,Revenue,1619800,2014,historical,NA,NA,NA,NA
2016-06-01,train,Olympia,Sales & Marketing,-307970,2014,historical,NA,NA,NA,NA
2016-07-01,train,Olympia,Cost of goods sold,-1136070,2014,historical,NA,NA,NA,NA
2016-07-01,train,Olympia,General & Admin,-166530,2014,historical,NA,NA,NA,NA
2016-07-01,train,Olympia,Revenue,1491750,2014,historical,NA,NA,NA,NA
2016-07-01,train,Olympia,Sales & Marketing,-265590,2014,historical,NA,NA,NA,NA
2016-08-01,train,Olympia,Cost of goods sold,-1214200,2014,historical,NA,NA,NA,NA
2016-08-01,train,Olympia,General & Admin,-227760,2014,historical,NA,NA,NA,NA
2016-08-01,train,Olympia,Revenue,1729390,2014,historical,NA,NA,NA,NA
2016-08-01,train,Olympia,Sales & Marketing,-233350,2014,historical,NA,NA,NA,NA
2016-09-01,train,Olympia,Cost of goods sold,-1023750,2014,historical,NA,NA,NA,NA
2016-09-01,train,Olympia,General & Admin,-212030,2014,historical,NA,NA,NA,NA
2016-09-01,train,Olympia,Revenue,1455480,2014,historical,NA,NA,NA,NA
2016-09-01,train,Olympia,Sales & Marketing,-229970,2014,historical,NA,NA,NA,NA
2016-10-01,train,Olympia,Cost of goods sold,-895050,2014,historical,NA,NA,NA,NA
2016-10-01,train,Olympia,General & Admin,-179400,2014,historical,NA,NA,NA,NA
2016-10-01,train,Olympia,Revenue,1334840,2014,historical,NA,NA,NA,NA
2016-10-01,train,Olympia,Sales & Marketing,-189020,2014,historical,NA,NA,NA,NA
2016-11-01,train,Olympia,Cost of goods sold,-920400,2014,historical,NA,NA,NA,NA
2016-11-01,train,Olympia,General & Admin,-196690,2014,historical,NA,NA,NA,NA
2016-11-01,train,Olympia,Revenue,1189630,2014,historical,NA,NA,NA,NA
2016-11-01,train,Olympia,Sales & Marketing,-180050,2014,historical,NA,NA,NA,NA
2016-12-01,train,Olympia,Cost of goods sold,-649220,2014,historical,NA,NA,NA,NA
2016-12-01,train,Olympia,General & Admin,-185250,2014,historical,NA,NA,NA,NA
2016-12-01,train,Olympia,Revenue,1656590,2014,historical,NA,NA,NA,NA
2016-12-01,train,Olympia,Sales & Marketing,-209560,2014,historical,NA,NA,NA,NA
2017-01-01,train,Olympia,Cost of goods sold,-707070,2014,historical,NA,NA,NA,NA
2017-01-01,train,Olympia,General & Admin,-200460,2014,historical,NA,NA,NA,NA
2017-01-01,train,Olympia,Revenue,867230,2014,historical,NA,NA,NA,NA
2017-01-01,train,Olympia,Sales & Marketing,-173550,2014,historical,NA,NA,NA,NA
2017-02-01,train,Olympia,Cost of goods sold,-730600,2014,historical,NA,NA,NA,NA
2017-02-01,train,Olympia,General & Admin,-181350,2014,historical,NA,NA,NA,NA
2017-02-01,train,Olympia,Revenue,933010,2014,historical,NA,NA,NA,NA
2017-02-01,train,Olympia,Sales & Marketing,-136240,2014,historical,NA,NA,NA,NA
2017-03-01,train,Olympia,Cost of goods sold,-964730,2014,historical,NA,NA,NA,NA
2017-03-01,train,Olympia,General & Admin,-183170,2014,historical,NA,NA,NA,NA
2017-03-01,train,Olympia,Revenue,1100970,2014,historical,NA,NA,NA,NA
2017-03-01,train,Olympia,Sales & Marketing,-258700,2014,historical,NA,NA,NA,NA
2017-04-01,train,Olympia,Cost of goods sold,-1119300,2014,historical,NA,NA,NA,NA
2017-04-01,train,Olympia,General & Admin,-248430,2014,historical,NA,NA,NA,NA
2017-04-01,train,Olympia,Revenue,1693640,2014,historical,NA,NA,NA,NA
2017-04-01,train,Olympia,Sales & Marketing,-354120,2014,historical,NA,NA,NA,NA
2017-05-01,train,Olympia,Cost of goods sold,-1403870,2014,historical,NA,NA,NA,NA
2017-05-01,train,Olympia,General & Admin,-270400,2014,historical,NA,NA,NA,NA
2017-05-01,train,Olympia,Revenue,2304510,2014,historical,NA,NA,NA,NA
2017-05-01,train,Olympia,Sales & Marketing,-475930,2014,historical,NA,NA,NA,NA
2017-06-01,train,Olympia,Cost of goods sold,-1938690,2014,historical,NA,NA,NA,NA
2017-06-01,train,Olympia,General & Admin,-356980,2014,historical,NA,NA,NA,NA
2017-06-01,train,Olympia,Revenue,3408600,2014,historical,NA,NA,NA,NA
2017-06-01,train,Olympia,Sales & Marketing,-643890,2014,historical,NA,NA,NA,NA
2017-07-01,train,Olympia,Cost of goods sold,-2097810,2014,historical,NA,NA,NA,NA
2017-07-01,train,Olympia,General & Admin,-344760,2014,historical,NA,NA,NA,NA
2017-07-01,train,Olympia,Revenue,3164980,2014,historical,NA,NA,NA,NA
2017-07-01,train,Olympia,Sales & Marketing,-533130,2014,historical,NA,NA,NA,NA
2017-08-01,train,Olympia,Cost of goods sold,-2326870,2014,historical,NA,NA,NA,NA
2017-08-01,train,Olympia,General & Admin,-371800,2014,historical,NA,NA,NA,NA
2017-08-01,train,Olympia,Revenue,3572010,2014,historical,NA,NA,NA,NA
2017-08-01,train,Olympia,Sales & Marketing,-555880,2014,historical,NA,NA,NA,NA
2017-09-01,train,Olympia,Cost of goods sold,-1631240,2014,historical,NA,NA,NA,NA
2017-09-01,train,Olympia,General & Admin,-314990,2014,historical,NA,NA,NA,NA
2017-09-01,train,Olympia,Revenue,2261740,2014,historical,NA,NA,NA,NA
2017-09-01,train,Olympia,Sales & Marketing,-413660,2014,historical,NA,NA,NA,NA
2017-10-01,train,Olympia,Cost of goods sold,-1911e3,2014,historical,NA,NA,NA,NA
2017-10-01,train,Olympia,General & Admin,-354770,2014,historical,NA,NA,NA,NA
2017-10-01,train,Olympia,Revenue,3035760,2014,historical,NA,NA,NA,NA
2017-10-01,train,Olympia,Sales & Marketing,-687050,2014,historical,NA,NA,NA,NA
2017-11-01,train,Olympia,Cost of goods sold,-1744730,2014,historical,NA,NA,NA,NA
2017-11-01,train,Olympia,General & Admin,-337610,2014,historical,NA,NA,NA,NA
2017-11-01,train,Olympia,Revenue,2596880,2014,historical,NA,NA,NA,NA
2017-11-01,train,Olympia,Sales & Marketing,-647010,2014,historical,NA,NA,NA,NA
2017-12-01,test,Olympia,Cost of goods sold,-1613690,2014,historical,NA,NA,NA,NA
2017-12-01,test,Olympia,General & Admin,-373100,2014,historical,NA,NA,NA,NA
2017-12-01,test,Olympia,Revenue,3276260,2014,historical,NA,NA,NA,NA
2017-12-01,test,Olympia,Sales & Marketing,-850070,2014,historical,NA,NA,NA,NA
2018-01-01,test,Olympia,Cost of goods sold,-1765270,2014,historical,NA,NA,NA,NA
2018-01-01,test,Olympia,General & Admin,-361140,2014,historical,NA,NA,NA,NA
2018-01-01,test,Olympia,Revenue,2612740,2014,historical,NA,NA,NA,NA
2018-01-01,test,Olympia,Sales & Marketing,-549770,2014,historical,NA,NA,NA,NA
2016-04-01,train,Salt Lake City,Sales & Marketing,-1292400,2014,historical,NA,NA,NA,NA
2015-05-01,train,Salt Lake City,Sales & Marketing,-1312870,2014,historical,NA,NA,NA,NA
2014-05-01,train,Salt Lake City,Sales & Marketing,-1179100,2014,historical,NA,NA,NA,NA
2014-04-01,train,Salt Lake City,Sales & Marketing,-1098630,2014,historical,NA,NA,NA,NA
2015-06-01,train,Salt Lake City,Sales & Marketing,-1091090,2014,historical,NA,NA,NA,NA
2014-12-01,train,Salt Lake City,Sales & Marketing,-1089920,2014,historical,NA,NA,NA,NA
2014-09-01,train,Salt Lake City,Sales & Marketing,-1084850,2014,historical,NA,NA,NA,NA
2015-03-01,train,Salt Lake City,Sales & Marketing,-1038050,2014,historical,NA,NA,NA,NA
2015-10-01,train,Salt Lake City,Sales & Marketing,-1035840,2014,historical,NA,NA,NA,NA
2016-03-01,train,Salt Lake City,Sales & Marketing,-1018680,2014,historical,NA,NA,NA,NA
2015-09-01,train,Salt Lake City,Sales & Marketing,-1015820,2014,historical,NA,NA,NA,NA
2015-04-01,train,Salt Lake City,Sales & Marketing,-996320,2014,historical,NA,NA,NA,NA
2014-10-01,train,Salt Lake City,Sales & Marketing,-952900,2014,historical,NA,NA,NA,NA
2015-12-01,train,Salt Lake City,Sales & Marketing,-930930,2014,historical,NA,NA,NA,NA
2015-11-01,train,Salt Lake City,Sales & Marketing,-916240,2014,historical,NA,NA,NA,NA
2014-07-01,train,Salt Lake City,Sales & Marketing,-912340,2014,historical,NA,NA,NA,NA
2014-11-01,train,Salt Lake City,Sales & Marketing,-894270,2014,historical,NA,NA,NA,NA
2015-02-01,train,Salt Lake City,Sales & Marketing,-883740,2014,historical,NA,NA,NA,NA
2014-03-01,train,Salt Lake City,Sales & Marketing,-878020,2014,historical,NA,NA,NA,NA
2015-08-01,train,Salt Lake City,Sales & Marketing,-875030,2014,historical,NA,NA,NA,NA
2014-08-01,train,Salt Lake City,Sales & Marketing,-836160,2014,historical,NA,NA,NA,NA
2014-02-01,train,Salt Lake City,Sales & Marketing,-830050,2014,historical,NA,NA,NA,NA
2014-06-01,train,Salt Lake City,Sales & Marketing,-821080,2014,historical,NA,NA,NA,NA
2015-07-01,train,Salt Lake City,Sales & Marketing,-772590,2014,historical,NA,NA,NA,NA
2016-01-01,train,Salt Lake City,Sales & Marketing,-743470,2014,historical,NA,NA,NA,NA
2016-02-01,train,Salt Lake City,Sales & Marketing,-720460,2014,historical,NA,NA,NA,NA
2014-01-01,train,Salt Lake City,Sales & Marketing,-701870,2014,historical,NA,NA,NA,NA
2015-01-01,train,Salt Lake City,Sales & Marketing,-692510,2014,historical,NA,NA,NA,NA
2016-06-01,train,Salt Lake City,Sales & Marketing,-679120,2014,historical,NA,NA,NA,NA
2016-05-01,train,Salt Lake City,Sales & Marketing,-655330,2014,historical,NA,NA,NA,NA
2016-07-01,train,Salt Lake City,Sales & Marketing,-566020,2014,historical,NA,NA,NA,NA
2016-08-01,train,Salt Lake City,Sales & Marketing,-495430,2014,historical,NA,NA,NA,NA
2016-09-01,train,Salt Lake City,Sales & Marketing,-480740,2014,historical,NA,NA,NA,NA
2016-10-01,train,Salt Lake City,Sales & Marketing,-460070,2014,historical,NA,NA,NA,NA
2017-07-01,train,Salt Lake City,Sales & Marketing,-458770,2014,historical,NA,NA,NA,NA
2017-10-01,train,Salt Lake City,Sales & Marketing,-448890,2014,historical,NA,NA,NA,NA
2017-12-01,test,Salt Lake City,Sales & Marketing,-419640,2014,historical,NA,NA,NA,NA
2017-03-01,train,Salt Lake City,Sales & Marketing,-403650,2014,historical,NA,NA,NA,NA
2016-11-01,train,Salt Lake City,Sales & Marketing,-401570,2014,historical,NA,NA,NA,NA
2016-12-01,train,Salt Lake City,Sales & Marketing,-397150,2014,historical,NA,NA,NA,NA
2017-08-01,train,Salt Lake City,Sales & Marketing,-379210,2014,historical,NA,NA,NA,NA
2017-06-01,train,Salt Lake City,Sales & Marketing,-374790,2014,historical,NA,NA,NA,NA
2017-05-01,train,Salt Lake City,Sales & Marketing,-363740,2014,historical,NA,NA,NA,NA
2018-01-01,test,Salt Lake City,Sales & Marketing,-357500,2014,historical,NA,NA,NA,NA
2017-04-01,train,Salt Lake City,Sales & Marketing,-351780,2014,historical,NA,NA,NA,NA
2017-01-01,train,Salt Lake City,Sales & Marketing,-344110,2014,historical,NA,NA,NA,NA
2017-09-01,train,Salt Lake City,Sales & Marketing,-336440,2014,historical,NA,NA,NA,NA
2017-11-01,train,Salt Lake City,Sales & Marketing,-306540,2014,historical,NA,NA,NA,NA
2017-02-01,train,Salt Lake City,Sales & Marketing,-279240,2014,historical,NA,NA,NA,NA
2018-01-01,test,Salt Lake City,Revenue,1957930,2014,historical,NA,NA,NA,NA
2017-11-01,train,Salt Lake City,Revenue,2043860,2014,historical,NA,NA,NA,NA
2017-03-01,train,Salt Lake City,Revenue,2075060,2014,historical,NA,NA,NA,NA
2017-12-01,test,Salt Lake City,Revenue,2082340,2014,historical,NA,NA,NA,NA
2017-04-01,train,Salt Lake City,Revenue,2147730,2014,historical,NA,NA,NA,NA
2017-01-01,train,Salt Lake City,Revenue,2167750,2014,historical,NA,NA,NA,NA
2017-05-01,train,Salt Lake City,Revenue,2259400,2014,historical,NA,NA,NA,NA
2017-02-01,train,Salt Lake City,Revenue,2259530,2014,historical,NA,NA,NA,NA
2017-09-01,train,Salt Lake City,Revenue,2408380,2014,historical,NA,NA,NA,NA
2016-12-01,train,Salt Lake City,Revenue,2430350,2014,historical,NA,NA,NA,NA
2017-10-01,train,Salt Lake City,Revenue,2537210,2014,historical,NA,NA,NA,NA
2016-02-01,train,Salt Lake City,Revenue,2591290,2014,historical,NA,NA,NA,NA
2016-01-01,train,Salt Lake City,Revenue,2632110,2014,historical,NA,NA,NA,NA
2016-10-01,train,Salt Lake City,Revenue,2666820,2014,historical,NA,NA,NA,NA
2016-11-01,train,Salt Lake City,Revenue,2692950,2014,historical,NA,NA,NA,NA
2015-01-01,train,Salt Lake City,Revenue,2722330,2014,historical,NA,NA,NA,NA
2016-05-01,train,Salt Lake City,Revenue,2815150,2014,historical,NA,NA,NA,NA
2016-09-01,train,Salt Lake City,Revenue,2824120,2014,historical,NA,NA,NA,NA
2016-07-01,train,Salt Lake City,Revenue,2973750,2014,historical,NA,NA,NA,NA
2015-02-01,train,Salt Lake City,Revenue,2995850,2014,historical,NA,NA,NA,NA
2014-01-01,train,Salt Lake City,Revenue,3101020,2014,historical,NA,NA,NA,NA
2017-07-01,train,Salt Lake City,Revenue,3115190,2014,historical,NA,NA,NA,NA
2015-11-01,train,Salt Lake City,Revenue,3127930,2014,historical,NA,NA,NA,NA
2017-08-01,train,Salt Lake City,Revenue,3148990,2014,historical,NA,NA,NA,NA
2017-06-01,train,Salt Lake City,Revenue,3149900,2014,historical,NA,NA,NA,NA
2014-02-01,train,Salt Lake City,Revenue,3192540,2014,historical,NA,NA,NA,NA
2016-03-01,train,Salt Lake City,Revenue,3192670,2014,historical,NA,NA,NA,NA
2015-04-01,train,Salt Lake City,Revenue,3209440,2014,historical,NA,NA,NA,NA
2014-11-01,train,Salt Lake City,Revenue,3269110,2014,historical,NA,NA,NA,NA
2016-08-01,train,Salt Lake City,Revenue,3359200,2014,historical,NA,NA,NA,NA
2015-12-01,train,Salt Lake City,Revenue,3368430,2014,historical,NA,NA,NA,NA
2015-10-01,train,Salt Lake City,Revenue,3457870,2014,historical,NA,NA,NA,NA
2015-03-01,train,Salt Lake City,Revenue,3466320,2014,historical,NA,NA,NA,NA
2014-03-01,train,Salt Lake City,Revenue,3485820,2014,historical,NA,NA,NA,NA
2015-05-01,train,Salt Lake City,Revenue,3505970,2014,historical,NA,NA,NA,NA
2016-04-01,train,Salt Lake City,Revenue,3537170,2014,historical,NA,NA,NA,NA
2016-06-01,train,Salt Lake City,Revenue,3619460,2014,historical,NA,NA,NA,NA
2014-04-01,train,Salt Lake City,Revenue,3715010,2014,historical,NA,NA,NA,NA
2015-09-01,train,Salt Lake City,Revenue,3723460,2014,historical,NA,NA,NA,NA
2014-12-01,train,Salt Lake City,Revenue,3739580,2014,historical,NA,NA,NA,NA
2015-07-01,train,Salt Lake City,Revenue,3808480,2014,historical,NA,NA,NA,NA
2014-10-01,train,Salt Lake City,Revenue,3868800,2014,historical,NA,NA,NA,NA
2014-08-01,train,Salt Lake City,Revenue,4047030,2014,historical,NA,NA,NA,NA
2014-09-01,train,Salt Lake City,Revenue,4052880,2014,historical,NA,NA,NA,NA
2015-06-01,train,Salt Lake City,Revenue,4054310,2014,historical,NA,NA,NA,NA
2015-08-01,train,Salt Lake City,Revenue,4078880,2014,historical,NA,NA,NA,NA
2014-05-01,train,Salt Lake City,Revenue,4114110,2014,historical,NA,NA,NA,NA
2014-06-01,train,Salt Lake City,Revenue,4371640,2014,historical,NA,NA,NA,NA
2014-07-01,train,Salt Lake City,Revenue,4631250,2014,historical,NA,NA,NA,NA
2015-06-01,train,Salt Lake City,General & Admin,-573950,2014,historical,NA,NA,NA,NA
2014-09-01,train,Salt Lake City,General & Admin,-551590,2014,historical,NA,NA,NA,NA
2014-05-01,train,Salt Lake City,General & Admin,-511940,2014,historical,NA,NA,NA,NA
2015-05-01,train,Salt Lake City,General & Admin,-511160,2014,historical,NA,NA,NA,NA
2014-06-01,train,Salt Lake City,General & Admin,-511030,2014,historical,NA,NA,NA,NA
2014-01-01,train,Salt Lake City,General & Admin,-508300,2014,historical,NA,NA,NA,NA
2014-08-01,train,Salt Lake City,General & Admin,-502840,2014,historical,NA,NA,NA,NA
2016-06-01,train,Salt Lake City,General & Admin,-502840,2014,historical,NA,NA,NA,NA
2015-07-01,train,Salt Lake City,General & Admin,-498290,2014,historical,NA,NA,NA,NA
2014-07-01,train,Salt Lake City,General & Admin,-496470,2014,historical,NA,NA,NA,NA
2014-10-01,train,Salt Lake City,General & Admin,-486460,2014,historical,NA,NA,NA,NA
2014-04-01,train,Salt Lake City,General & Admin,-467870,2014,historical,NA,NA,NA,NA
2015-08-01,train,Salt Lake City,General & Admin,-464100,2014,historical,NA,NA,NA,NA
2015-10-01,train,Salt Lake City,General & Admin,-453180,2014,historical,NA,NA,NA,NA
2015-09-01,train,Salt Lake City,General & Admin,-452790,2014,historical,NA,NA,NA,NA
2014-02-01,train,Salt Lake City,General & Admin,-451490,2014,historical,NA,NA,NA,NA
2014-12-01,train,Salt Lake City,General & Admin,-445900,2014,historical,NA,NA,NA,NA
2014-11-01,train,Salt Lake City,General & Admin,-444340,2014,historical,NA,NA,NA,NA
2014-03-01,train,Salt Lake City,General & Admin,-434720,2014,historical,NA,NA,NA,NA
2015-03-01,train,Salt Lake City,General & Admin,-419900,2014,historical,NA,NA,NA,NA
2015-01-01,train,Salt Lake City,General & Admin,-406250,2014,historical,NA,NA,NA,NA
2015-02-01,train,Salt Lake City,General & Admin,-404560,2014,historical,NA,NA,NA,NA
2015-11-01,train,Salt Lake City,General & Admin,-395330,2014,historical,NA,NA,NA,NA
2016-02-01,train,Salt Lake City,General & Admin,-393380,2014,historical,NA,NA,NA,NA
2016-05-01,train,Salt Lake City,General & Admin,-388960,2014,historical,NA,NA,NA,NA
2016-04-01,train,Salt Lake City,General & Admin,-379600,2014,historical,NA,NA,NA,NA
2017-06-01,train,Salt Lake City,General & Admin,-378950,2014,historical,NA,NA,NA,NA
2016-08-01,train,Salt Lake City,General & Admin,-367120,2014,historical,NA,NA,NA,NA
2017-05-01,train,Salt Lake City,General & Admin,-365690,2014,historical,NA,NA,NA,NA
2016-01-01,train,Salt Lake City,General & Admin,-358540,2014,historical,NA,NA,NA,NA
2017-07-01,train,Salt Lake City,General & Admin,-353860,2014,historical,NA,NA,NA,NA
2015-12-01,train,Salt Lake City,General & Admin,-352300,2014,historical,NA,NA,NA,NA
2016-07-01,train,Salt Lake City,General & Admin,-347360,2014,historical,NA,NA,NA,NA
2015-04-01,train,Salt Lake City,General & Admin,-346710,2014,historical,NA,NA,NA,NA
2017-03-01,train,Salt Lake City,General & Admin,-343980,2014,historical,NA,NA,NA,NA
2016-03-01,train,Salt Lake City,General & Admin,-332410,2014,historical,NA,NA,NA,NA
2017-01-01,train,Salt Lake City,General & Admin,-325520,2014,historical,NA,NA,NA,NA
2016-09-01,train,Salt Lake City,General & Admin,-317460,2014,historical,NA,NA,NA,NA
2016-11-01,train,Salt Lake City,General & Admin,-305110,2014,historical,NA,NA,NA,NA
2016-10-01,train,Salt Lake City,General & Admin,-304070,2014,historical,NA,NA,NA,NA
2017-10-01,train,Salt Lake City,General & Admin,-301340,2014,historical,NA,NA,NA,NA
2017-02-01,train,Salt Lake City,General & Admin,-299390,2014,historical,NA,NA,NA,NA
2018-01-01,test,Salt Lake City,General & Admin,-298610,2014,historical,NA,NA,NA,NA
2017-04-01,train,Salt Lake City,General & Admin,-297570,2014,historical,NA,NA,NA,NA
2017-12-01,test,Salt Lake City,General & Admin,-294970,2014,historical,NA,NA,NA,NA
2017-09-01,train,Salt Lake City,General & Admin,-294840,2014,historical,NA,NA,NA,NA
2017-11-01,train,Salt Lake City,General & Admin,-288860,2014,historical,NA,NA,NA,NA
2017-08-01,train,Salt Lake City,General & Admin,-284180,2014,historical,NA,NA,NA,NA
2016-12-01,train,Salt Lake City,General & Admin,-275470,2014,historical,NA,NA,NA,NA
2014-07-01,train,Salt Lake City,Cost of goods sold,-3314740,2014,historical,NA,NA,NA,NA
2014-06-01,train,Salt Lake City,Cost of goods sold,-3026920,2014,historical,NA,NA,NA,NA
2014-08-01,train,Salt Lake City,Cost of goods sold,-2806180,2014,historical,NA,NA,NA,NA
2014-05-01,train,Salt Lake City,Cost of goods sold,-2706600,2014,historical,NA,NA,NA,NA
2014-04-01,train,Salt Lake City,Cost of goods sold,-2570880,2014,historical,NA,NA,NA,NA
2014-10-01,train,Salt Lake City,Cost of goods sold,-2549430,2014,historical,NA,NA,NA,NA
2014-09-01,train,Salt Lake City,Cost of goods sold,-2475590,2014,historical,NA,NA,NA,NA
